Timestamp	이름 (또는 닉네임)	이 책에서 가장 중요하다고 생각하는 키워드 3개	이 책의 핵심 메시지를 한 문장으로 요약한다면?	이 책을 읽고 나만의 관점에서 얻은 인사이트는?	이 책과 연결되는 다른 개념이나 키워드가 있다면?	이 책이 당신의 기존 생각에 미친 영향은?	나와 비슷한 관점을 가질 것 같은 참여자가 있다면?
Mon Jan 08 2024 14:00:00 GMT+0900 (Korean Standard Time)	양준서	에머전트시스템, 창발적질서, 자기조직화	개별 요소들이 모여 새로운 질서 창출	각각의 작은 습관들이 모여 예상치 못한 시너지	창발시스템	기존 생각을 부분적으로 수정했다	권민서
Mon Jan 08 2024 14:15:00 GMT+0900 (Korean Standard Time)	권민서	마스터리지향, 숙련도추구, 지속적발전	완벽함이 아닌 숙련을 향한 여정	실수해도 괜찮고 계속 발전해나가는 과정	마스터리	기존 생각을 확인강화시켰다	마준혁
Mon Jan 08 2024 14:30:00 GMT+0900 (Korean Standard Time)	마준혁	린매니지먼트, 낭비제거, 가치중심	가치를 만들지 않는 모든 것은 낭비	정말 중요한 가치를 만드는 활동에만 집중	린관리	기존 생각을 크게 확장시켰다	진서윤
Mon Jan 08 2024 14:45:00 GMT+0900 (Korean Standard Time)	진서윤	마인드풀셀프컴패션, 자비로운알아차림, 현재순간자애	현재 순간의 고통을 자비롭게 받아들이기	힘들 때 자신을 비난하지 말고 따뜻하게 안아주기	자비명상	완전히 새로운 관점을 제시했다	방시원
Mon Jan 08 2024 15:00:00 GMT+0900 (Korean Standard Time)	방시원	지식그래프, 개념네트워크, 연결관계	지식을 네트워크 구조로 이해하기	습관들 사이의 연결과 영향 관계를 그래프로	지식그래프	기존 생각을 부분적으로 수정했다	공지안
Mon Jan 08 2024 15:15:00 GMT+0900 (Korean Standard Time)	공지안	스토리드리븐디자인, 서사중심설계, 의미구축	스토리텔링을 중심으로 한 설계	내 인생 스토리의 주인공으로서 습관을 설계	스토리설계	기존 생각을 확인강화시켰다	노건우
Mon Jan 08 2024 15:30:00 GMT+0900 (Korean Standard Time)	노건우	펑셔널피트니스, 실생활연동운동, 움직임질	일상생활에 도움되는 기능적 움직임	헬스장 운동보다 실제 생활에서 쓰이는 움직임	기능성운동	기존 생각을 크게 확장시켰다	도채원
Mon Jan 08 2024 15:45:00 GMT+0900 (Korean Standard Time)	도채원	일본미학, 간소함의미학, 여백의아름다움	불필요한 것을 제거한 간소함의 아름다움	채우는 것보다 비우는 것에서 오는 평온함	일본미학	완전히 새로운 관점을 제시했다	라현준
Mon Jan 08 2024 16:00:00 GMT+0900 (Korean Standard Time)	라현준	협력학습, 상호의존학습, 함께성장	혼자가 아닌 함께 배우고 성장하기	서로의 강점을 활용해서 함께 목표 달성	협력학습	기존 생각을 부분적으로 수정했다	모아린
Mon Jan 08 2024 16:15:00 GMT+0900 (Korean Standard Time)	모아린	원시종교, 자연숭배, 생명경외	자연과 생명에 대한 경외감	모든 생명체와 자연을 신성하게 여기는 마음	자연경외	기존 생각을 확인강화시켰다	배준우
Mon Jan 08 2024 16:30:00 GMT+0900 (Korean Standard Time)	배준우	비판적합리주의, 오류시정, 열린사고	언제나 틀릴 수 있다는 겸손한 자세	내 생각이 틀릴 수도 있다는 열린 마음	비판적사고	기존 생각을 크게 확장시켰다	서지민
Mon Jan 08 2024 16:45:00 GMT+0900 (Korean Standard Time)	서지민	사회인지이론, 상호결정론, 환경상호작용	개인-행동-환경의 상호작용	나와 행동과 환경이 서로 영향을 주고받는 관계	사회인지	완전히 새로운 관점을 제시했다	염시후
Mon Jan 08 2024 17:00:00 GMT+0900 (Korean Standard Time)	염시후	어드벤처테라피, 모험을통한치유, 성장경험	모험 활동을 통한 심리적 치유와 성장	안전지대를 벗어나는 도전으로 내면의 힘 발견	모험치료	기존 생각을 부분적으로 수정했다	유채은
Mon Jan 08 2024 17:15:00 GMT+0900 (Korean Standard Time)	유채은	인테그러티브헬스, 통합보건, 전인적건강	서양의학과 보완의학의 통합적 접근	몸과 마음과 영혼의 건강을 모두 고려	통합건강	기존 생각을 확인강화시켰다	이건희
Mon Jan 08 2024 17:30:00 GMT+0900 (Korean Standard Time)	이건희	어댑티브러닝, 개인맞춤학습, 지능형교육	개인의 학습 패턴에 맞춰 적응하는 교육	AI가 내 학습 스타일을 파악해서 맞춤 제공	적응교육	기존 생각을 크게 확장시켰다	임나은
Mon Jan 08 2024 17:45:00 GMT+0900 (Korean Standard Time)	임나은	엠보디드코그니션, 체화된인지, 몸의지혜	몸과 마음이 분리되지 않은 통합적 인지	머리로만 아는 것이 아닌 몸으로 체득하는 지혜	체화지혜	완전히 새로운 관점을 제시했다	장준영
